STARID,NAME                          ,GENDER
1000,Emil Jannings                 ,male
1001,Janet Gaynor                  ,female
1002,Warner Baxter                 ,male
1003,Mary Pickford                 ,female
1004,George Arliss                 ,male
1005,Norma Shearer                 ,female
1006,Lionel Barrymore              ,male
1007,Marie Dressler                ,female
1008,Wallace Beery                 ,male
1009,Helen Hayes                   ,female
1010,Charles Laughton              ,male
